#Coverage	Number of genomic locations
714.0	506.0
715.0	260.0
716.0	192.0
717.0	260.0
718.0	245.0
719.0	434.0
720.0	429.0
721.0	320.0
722.0	330.0
723.0	366.0
724.0	301.0
725.0	256.0
726.0	368.0
727.0	493.0
728.0	364.0
729.0	505.0
730.0	422.0
731.0	299.0
732.0	403.0
733.0	496.0
734.0	538.0
735.0	652.0
736.0	505.0
737.0	415.0
738.0	392.0
739.0	210.0
740.0	288.0
741.0	378.0
742.0	465.0
743.0	647.0
744.0	670.0
745.0	871.0
746.0	1349.0
747.0	704.0
748.0	668.0
749.0	337.0
750.0	321.0
751.0	276.0
752.0	356.0
753.0	545.0
754.0	760.0
755.0	628.0
756.0	692.0
757.0	834.0
758.0	1034.0
759.0	747.0
760.0	424.0
761.0	522.0
762.0	798.0
763.0	889.0
764.0	747.0
765.0	417.0
766.0	290.0
767.0	242.0
768.0	261.0
769.0	282.0
770.0	213.0
771.0	219.0
772.0	193.0
773.0	211.0
774.0	138.0
775.0	188.0
776.0	185.0
777.0	226.0
778.0	288.0
779.0	195.0
780.0	211.0
781.0	213.0
782.0	264.0
783.0	319.0
784.0	268.0
785.0	195.0
786.0	166.0
787.0	290.0
788.0	150.0
789.0	206.0
790.0	214.0
791.0	368.0
792.0	308.0
793.0	234.0
794.0	196.0
795.0	310.0
796.0	209.0
797.0	206.0
798.0	205.0
799.0	252.0
800.0	272.0
801.0	278.0
802.0	192.0
803.0	205.0
804.0	267.0
805.0	261.0
806.0	328.0
807.0	308.0
808.0	224.0
809.0	276.0
810.0	175.0
811.0	269.0
812.0	276.0
813.0	197.0
814.0	269.0
815.0	196.0
816.0	262.0
817.0	208.0
818.0	160.0
819.0	247.0
820.0	287.0
821.0	347.0
822.0	381.0
823.0	263.0
824.0	292.0
825.0	423.0
826.0	245.0
827.0	308.0
828.0	243.0
829.0	227.0
830.0	285.0
831.0	173.0
832.0	238.0
833.0	259.0
834.0	220.0
835.0	413.0
836.0	382.0
837.0	304.0
838.0	337.0
839.0	290.0
840.0	325.0
841.0	268.0
842.0	262.0
843.0	158.0
844.0	243.0
845.0	389.0
846.0	306.0
847.0	323.0
848.0	347.0
849.0	314.0
850.0	248.0
851.0	190.0
852.0	206.0
853.0	156.0
854.0	259.0
855.0	271.0
856.0	351.0
857.0	415.0
858.0	301.0
859.0	370.0
860.0	227.0
861.0	232.0
862.0	348.0
863.0	280.0
864.0	225.0
865.0	206.0
866.0	217.0
867.0	239.0
868.0	292.0
869.0	411.0
870.0	441.0
871.0	616.0
872.0	301.0
873.0	280.0
874.0	496.0
875.0	329.0
876.0	260.0
877.0	312.0
878.0	322.0
879.0	356.0
880.0	534.0
881.0	310.0
882.0	296.0
883.0	244.0
884.0	366.0
885.0	698.0
886.0	606.0
887.0	352.0
888.0	491.0
889.0	345.0
890.0	929.0
891.0	211.0
892.0	208.0
893.0	160.0
894.0	156.0
895.0	168.0
896.0	134.0
897.0	138.0
898.0	127.0
899.0	168.0
900.0	158.0
901.0	80.0
902.0	84.0
903.0	99.0
904.0	151.0
905.0	160.0
906.0	131.0
907.0	172.0
908.0	123.0
909.0	133.0
910.0	63.0
911.0	176.0
912.0	123.0
913.0	177.0
914.0	162.0
915.0	119.0
916.0	174.0
917.0	235.0
918.0	124.0
919.0	153.0
920.0	244.0
921.0	172.0
922.0	180.0
923.0	226.0
924.0	163.0
925.0	126.0
926.0	239.0
927.0	317.0
928.0	284.0
929.0	292.0
930.0	282.0
931.0	317.0
932.0	138.0
933.0	108.0
934.0	180.0
935.0	148.0
936.0	114.0
937.0	241.0
938.0	262.0
939.0	280.0
940.0	133.0
941.0	124.0
942.0	178.0
943.0	170.0
944.0	188.0
945.0	174.0
946.0	49.0
947.0	49.0
948.0	61.0
949.0	77.0
950.0	150.0
951.0	104.0
952.0	99.0
953.0	60.0
954.0	70.0
955.0	76.0
956.0	71.0
957.0	59.0
958.0	104.0
959.0	79.0
960.0	92.0
961.0	146.0
962.0	82.0
963.0	126.0
964.0	102.0
965.0	72.0
966.0	83.0
967.0	92.0
968.0	112.0
969.0	89.0
970.0	213.0
971.0	74.0
972.0	72.0
973.0	61.0
974.0	53.0
975.0	115.0
976.0	63.0
977.0	104.0
978.0	75.0
979.0	65.0
980.0	58.0
981.0	40.0
982.0	105.0
983.0	134.0
984.0	76.0
985.0	86.0
986.0	124.0
987.0	49.0
988.0	127.0
989.0	68.0
990.0	66.0
991.0	66.0
992.0	64.0
993.0	43.0
994.0	69.0
995.0	105.0
996.0	133.0
997.0	88.0
998.0	147.0
999.0	79.0
1000.0	82.0
1001.0	105.0
1002.0	71.0
1003.0	115.0
1004.0	105.0
1005.0	171.0
1006.0	136.0
1007.0	105.0
1008.0	150.0
1009.0	149.0
1010.0	132.0
1011.0	167.0
1012.0	138.0
1013.0	93.0
1014.0	65.0
1015.0	90.0
1016.0	60.0
1017.0	107.0
1018.0	141.0
1019.0	116.0
1020.0	45.0
1021.0	79.0
1022.0	111.0
1023.0	119.0
1024.0	116.0
1025.0	98.0
1026.0	103.0
1027.0	146.0
1028.0	70.0
1029.0	47.0
1030.0	75.0
1031.0	69.0
1032.0	88.0
1033.0	128.0
1034.0	166.0
1035.0	80.0
1036.0	178.0
1037.0	342.0
1038.0	71.0
1039.0	88.0
1040.0	159.0
1041.0	157.0
1042.0	70.0
1043.0	80.0
1044.0	36.0
1045.0	82.0
1046.0	155.0
1047.0	96.0
1048.0	172.0
1049.0	295.0
1050.0	150.0
1051.0	55.0
1052.0	128.0
1053.0	104.0
1054.0	65.0
1055.0	107.0
1056.0	86.0
1057.0	103.0
1058.0	74.0
1059.0	111.0
1060.0	184.0
1061.0	334.0
1062.0	130.0
1063.0	125.0
1064.0	17.0
1065.0	58.0
1066.0	78.0
1067.0	92.0
1068.0	55.0
1069.0	89.0
1070.0	64.0
1071.0	54.0
1072.0	39.0
1073.0	35.0
1074.0	46.0
1075.0	27.0
1076.0	80.0
1077.0	44.0
1078.0	34.0
1079.0	34.0
1080.0	47.0
1081.0	44.0
1082.0	51.0
1083.0	102.0
1084.0	15.0
1085.0	51.0
1086.0	18.0
1087.0	41.0
1088.0	44.0
1089.0	49.0
1090.0	58.0
1091.0	63.0
1092.0	38.0
1093.0	35.0
1094.0	37.0
1095.0	33.0
1096.0	34.0
1097.0	35.0
1098.0	52.0
1099.0	27.0
1100.0	45.0
1101.0	17.0
1102.0	31.0
1103.0	110.0
1104.0	56.0
1105.0	30.0
1106.0	22.0
1107.0	110.0
1108.0	80.0
1109.0	93.0
1110.0	36.0
1111.0	48.0
1112.0	50.0
1113.0	51.0
1114.0	16.0
1115.0	39.0
1116.0	52.0
1117.0	84.0
1118.0	46.0
1119.0	58.0
1120.0	31.0
1121.0	49.0
1122.0	44.0
1123.0	53.0
1124.0	67.0
1125.0	29.0
1126.0	55.0
1127.0	66.0
1128.0	79.0
1129.0	37.0
1130.0	20.0
1131.0	29.0
1132.0	38.0
1133.0	43.0
1134.0	19.0
1135.0	32.0
1136.0	72.0
1137.0	34.0
1138.0	52.0
1139.0	63.0
1140.0	73.0
1141.0	51.0
1142.0	51.0
1143.0	26.0
1144.0	65.0
1145.0	57.0
1146.0	34.0
1147.0	34.0
1148.0	20.0
1149.0	45.0
1150.0	37.0
1151.0	87.0
1152.0	31.0
1153.0	39.0
1154.0	21.0
1155.0	40.0
1156.0	49.0
1157.0	17.0
1158.0	39.0
1159.0	70.0
1160.0	29.0
1161.0	38.0
1162.0	46.0
1163.0	25.0
1164.0	32.0
1165.0	60.0
1166.0	49.0
1167.0	42.0
1168.0	23.0
1169.0	18.0
1170.0	54.0
1171.0	92.0
1172.0	38.0
1173.0	114.0
1174.0	37.0
1175.0	34.0
1176.0	21.0
1177.0	21.0
1178.0	36.0
1179.0	41.0
1180.0	44.0
1181.0	74.0
1182.0	53.0
1183.0	31.0
1184.0	51.0
1185.0	23.0
1186.0	46.0
1187.0	54.0
1188.0	74.0
1189.0	46.0
1190.0	39.0
1191.0	39.0
1192.0	59.0
1193.0	64.0
1194.0	36.0
1195.0	86.0
1196.0	18.0
